code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR82220,Sochaux Mairie,47.5131,6.8318,DORANS,8.74
FR34017,Marigny-les-usages,47.958973,2.009278,ORLEANS,17.56
FR08003,Montpellier Chaptal,43.6113,3.86626,MONTPELLIER-AEROPORT,8.84
FR09207,MARANS_D137,46.309624,-0.991908,LA ROCHELLE-ILE DE RE,21.3
FR43002,Convalescence,-12.778186,45.220234,PAMANDZI,7.44
FR19032,Lorient B. Bissonnet,47.7425,-3.39501,LORIENT-LANN BIHOUE,3.79
FR22016,Saint-Avold Centre,49.104137,6.70375,AEROPORT METZ-NANCY-LORRAINE,36.33
FR30032,Heming,48.694725,6.965275,STRASBOURG-ENTZHEIM,52.18
FR26014,Dijon Trémouille,47.325745,5.041056,DIJON-LONGVIC,7.36
FR23249,LA CAME,47.32113,-2.127344,ST NAZAIRE-MONTOIR,2.2
FR10041,St Omer Ribot,50.74823,2.25978,DUNKERQUE,34.66
FR02016,Salon de Provence,43.63864,5.091892,SALON DE PROVENCE,3.15
FR12046,MONTAUBAN,44.022743,1.411761,MONTAUBAN,2.87
FR04141,Quai des Celestins,48.85278,2.360556,PARIS-MONTSOURIS,3.84
FR15017,Fontaine Les Balmes,45.19049,5.687023,GRENOBLE-ST GEOIRS,35.03
FR12054,Toulouse Rte Albi,43.643944,1.468244,TOULOUSE-BLAGNAC,7.63
FR04012,Place Victor Basch,48.827778,2.3275,PARIS-MONTSOURIS,1.02
FR02022,Arles,43.675114,4.62921,NIMES-GARONS,20.5
FR04185,POMMEUSE,48.81588,2.9912472,MELUN,32.33
FR04149,MONTGERON,48.7067,2.4572,ORLY,4.59
FR01011,Metz-Centre,49.119442,6.180833,AEROPORT METZ-NANCY-LORRAINE,16.23
FR16051,Vieux Thann,47.80596,7.125433,COLMAR-MEYENHEIM,25.09
FR01022,St-Julien-lès-Metz,49.131115,6.207225,AEROPORT METZ-NANCY-LORRAINE,17.08
FR20003,GARIBALDI,45.7681,4.8503,LYON-BRON,9.27
FR08022,Agathois-piscénois,43.2875,3.50484,BEZIERS-VIAS,12.9
FR05090,Le Havre ville-haute,49.514687,0.100645,OCTEVILLE,2.14
FR02009,Port Saint Louis,43.39378,4.801024,ISTRES,17.6
FR10026,Calais Parmentier,50.9578,1.89008,BOULOGNE-SEM,32.3
FR07038,Issoire Associations,45.544533,3.248278,CLERMONT-FD,28.02
FR38024,RDT SAINT-LEU,-21.213211,55.302845,GILLOT-AEROPORT,42.7
FR26019,Auxerre,47.800575,3.576189,AUXERRE-PERRIGNY,3.33
FR05089,Le Havre Lafaurie-montant,49.500187,0.110903,OCTEVILLE,3.9
FR34018,Montargis,47.99789,2.7195,AUXERRE-PERRIGNY,64.8
FR04323,EVRY,48.62722,2.429167,ORLY,10.37
FR31039,PAU TOURASSE,43.311092,-0.352116,PAU-UZEIN,9.72
FR03037,VALLEE HUVEAUNE,43.28334,5.511384,MARIGNANE,29.41
FR36025,ANNONAY,45.242825,4.672595,ST ETIENNE-BOUTHEON,44.82
FR39013,Robert Mansarde,14.675558,-60.94609,LAMENTIN-AERO,10.39
FR33122,La Léchère,45.53583,6.471111,BOURG ST MAURICE,24.3
FR22022,SARREGUEMINES,49.118343,7.083539,AEROPORT METZ-NANCY-LORRAINE,63.17
FR01001,Longlaville-Ecole,49.535004,5.804447,AEROPORT METZ-NANCY-LORRAINE,69.51
FR07008,Delille,45.78089,3.094583,CLERMONT-FD,4.3
FR31023,MASLACQ,43.436455,-0.695041,PAU-UZEIN,23.23
FR25052,Evreux  Boulevard de Normandie,49.02021,1.138717,EVREUX-HUEST,6.07
FR09204,La_Rochelle_trafic_3,46.16355,-1.146367,LA ROCHELLE-ILE DE RE,3.95
FR82040,Dole centre,47.09672,5.496389,TAVAUX SA,7.87
FR19021,Lorient CTM,47.75171,-3.37501,LORIENT-LANN BIHOUE,4.7
FR19053,Quimper Zola,47.986607,-4.097658,QUIMPER,4.93
FR16508,Thann 2,47.8144,7.1047,COLMAR-MEYENHEIM,25.93
FR15018,Voiron Urbain,45.360176,5.589419,GRENOBLE-ST GEOIRS,21.57
FR12045,LOURDES PARADIS,43.094994,-0.052394,TARBES-LOURDES-PYRENEES,11.18
FR27010,Plateau de Bonnevaux,45.4609,5.181081,GRENOBLE-ST GEOIRS,14.92
FR30027,Frolois,48.565445,6.129578,NANCY-OCHEY,12.61
FR02007,Martigues La Gatasse,43.36069,5.058139,MARIGNANE,15.02
FR04069,MELUN,48.54139,2.661389,MELUN,7.78
FR41024,VENACO,42.236027,9.190028,ALISTRO,29.05
FR23242,BD DU ROI RENE,47.46699,-0.554686,BEAUCOUZE,4.68
FR07009,Jardin Lecoq,45.772167,3.0875,CLERMONT-FD,5.06
FR35005,GUERET - Nicolas,46.17362,1.873024,GUERET-ST LAURENT,5.96
FR26035,Nuits-Saint-Georges,47.13723,4.950573,DIJON-LONGVIC,17.87
FR27011,A7 Salaise Ouest,45.344078,4.807481,GRENOBLE-ST GEOIRS,39.59
FR12051,VIVIEZ-Stade,44.545853,2.2257,RODEZ-AVEYRON,25.34
FR20019,GRANDCLEMENT,45.75836,4.886214,LYON-BRON,6.39
FR04017,NEUILLY-SUR-SEINE,48.88139,2.278056,PARIS-MONTSOURIS,7.95
FR36005,Drôme Rurale Sud,44.520744,5.089872,MONTELIMAR,29.07
FR35027,LIMOGES - BERLAND,45.842205,1.259689,LIMOGES-BELLEGARDE,6.89
FR15048,Gresivaudan Periurb,45.2797,5.8822,CHAMBERY-AIX,40.21
FR08616,Nimes Planas,43.8299,4.36199,NIMES-COURBESSAC,4.65
FR03031,CADARACHE/DURANCE,43.708584,5.758152,ST AUBAN,43.47
FR08252,GARNOR03,44.054474,4.697408,ORANGE,16.46
FR25502,Petit-Couronne Berthet,49.385,1.0187,ROUEN-BOOS,11.57
FR15039,Le Rondeau,45.158363,5.703764,GRENOBLE-ST GEOIRS,38.17
FR20049,HAUT BEAUJOLAIS,45.96141,4.465711,MACON,44.87
FR82043,Chatenois,47.147232,5.556211,TAVAUX SA,15.08
FR18089,Trafic Beauvais 1,49.435932,2.084292,BEAUVAIS-TILLE,3.32
FR24018,MANOSQUE,43.835785,5.786131,ST AUBAN,29.99
FR23236,GUILOT,47.6964,-0.0736,MARCE,23.59
FR22014,Spicheren(14),49.19539,6.957444,AEROPORT METZ-NANCY-LORRAINE,57.3
FR38020,Plateau Caillou,-21.022112,55.266773,GILLOT-AEROPORT,30.8
FR23107,LA CHAUVINIERE,47.252777,-1.573333,NANTES-BOUGUENAIS,11.74
FR03071,TOULON CLARET,43.13111,5.924184,HYERES,18.4
FR07060,Royat Périurbaine,45.76411,3.046111,CLERMONT-FD,8.39
FR02006,Martigues Laurons,43.358982,5.023388,MARIGNANE,17.5
FR22009,Ecole de Carling(9),49.165726,6.716886,AEROPORT METZ-NANCY-LORRAINE,40.25
FR05074,Le Havre Ec. Herriot,49.48963,0.100703,OCTEVILLE,4.87
FR12015,Saint Gaudens Miramont,43.093613,0.743611,ST GIRONS,31.1
FR04331,LIMAY,48.985523,1.754142,PONTOISE - AERO,23.1
FR10132,Campagne les B.,50.61048,1.99145,LE-TOUQUET,28.14
FR15046,Grenoble Boulevards,45.18069,5.720625,GRENOBLE-ST GEOIRS,37.83
FR05078,Le Havre Massillon,49.4983,0.142706,OCTEVILLE,5.34
FR07022,Paray le Fresil,46.652668,3.600667,ST YAN,41.83
FR23174,GUEDOU,47.98895,0.19605,LE MANS,4.8
FR39018,CDST,14.755003,-61.17883,LAMENTIN-AERO,26.52
FR34042,Lucé,48.439304,1.468778,CHARTRES,3.36
FR08617,Nimes La Calmette,43.9254,4.26581,NIMES-COURBESSAC,13.6
FR03002,MARSEILLE TIMONE,43.29005,5.400252,MARIGNANE,22.16
FR23177,SAINT-DENIS D'ANJOU,47.788334,-0.444756,MARCE,26.94
FR07010,Montlucon Centre,46.344,2.598,GUERET-ST LAURENT,53.2
FR19002,Rennes Laennec,48.10861,-1.66586,RENNES-ST JACQUES,6.72
FR82210,Bouclans (Nancray),47.2458,6.1836,BESANCON,14.71
FR31040,MARMANDE,44.50878,0.142695,BERGERAC,46.15
FR19501,Rennes Rue Guehenno,48.11825,-1.67204,RENNES-ST JACQUES,7.17
FR05040,Honfleur Sce Tech.,49.415108,0.2437,ST GATIEN DES B,7.9
FR21060,Moult proximité,49.117195,-0.169666,CAEN-CARPIQUET,21.98
FR36019,Romans-sur-Isère,45.0425,5.0443,GRENOBLE-ST GEOIRS,41.5
FR34032,Leblanc,47.08278,2.405333,BOURGES,4.33
FR04014,PARIS 12eme,48.837223,2.3939,PARIS-MONTSOURIS,4.45
FR12055,ALBI MASSOL,43.92213,2.146844,ALBI,2.58
FR01020,Thionville-Centre,49.358337,6.156942,AEROPORT METZ-NANCY-LORRAINE,42.61
FR04322,Zone Rurale Ouest,48.8603,1.6767,TRAPPES,26.2
FR09202,La Rochelle centre - rue St-Louis,46.159,-1.145999,LA ROCHELLE-ILE DE RE,4.2
FR10027,Calais EREA,50.96156,1.8739,BOULOGNE-SEM,31.93
FR35004,BRIVE - Dalton,45.158737,1.537259,BRIVE,5.19
FR03062,TOULON CHALUCET,43.127476,5.927086,HYERES,18.1
FR02035,Carry le Rouet,43.330868,5.151234,MARIGNANE,12.77
FR03080,AVIGNON   MAIRIE,43.949673,4.804341,AVIGNON,8.94
FR08020,Lunel Viel,43.6758,4.08838,MONTPELLIER-AEROPORT,14.9
FR01010,La Maxe,49.164165,6.186392,AEROPORT METZ-NANCY-LORRAINE,20.96
FR01014,Pont-à-Mousson,48.915,6.058336,AEROPORT METZ-NANCY-LORRAINE,15.28
FR04179,PARIS Stade Lenglen,48.830387,2.269889,PARIS-MONTSOURIS,5.07
FR34038,Verneuil,46.814693,2.610069,AVORD,26.52
FR25045,Phare d Ailly,49.916363,0.957178,DIEPPE,9.68
FR21041,Ouistreham Baie de l Orne,49.278324,-0.247074,CAEN-CARPIQUET,18.71
FR31032,AGEN,44.192223,0.623889,AGEN-LA GARENNE,3.23
FR05083,Gonfreville l Orcher,49.50273,0.232486,OCTEVILLE,10.71
FR33305,Bourg-en-Bresse,46.211666,5.226389,AMBERIEU,27.33
FR09305,Niort - Tassigny,46.33388,-0.471878,NIORT,5.86
FR39003,Etang Zabricot,14.603497,-61.041206,LAMENTIN-AERO,4.98
FR07039,Chamalières Europe,45.774727,3.062978,CLERMONT-FD,6.83
FR34047,Saint-Remy,48.760887,1.233639,EVREUX-HUEST,29.38
FR24024,BRIANCON,44.895805,6.635561,VILLAR ST PANCRACE,1.76
FR04101,CHAMPIGNY-SUR-MARNE,48.816387,2.5175,PARIS-MONTSOURIS,13.17
FR21038,Cherbourg Hotel de Ville,49.64225,-1.624361,GONNEVILLE,11.64
FR01092,Farébersviller,49.117123,6.856736,AEROPORT METZ-NANCY-LORRAINE,47.27
FR28033,Noeux-les-Mines,50.48972,2.66642,LILLE-LESQUIN,31.75
FR16040,Strasbourg A35,48.575985,7.727478,STRASBOURG-ENTZHEIM,7.06
FR31001,GRAND PARC,44.86121,-0.58037,BORDEAUX-MERIGNAC,9.38
FR04145,GARCHES,48.84639,2.189444,VILLACOUBLAY,8.29
FR09010,Chasseneuil,46.655334,0.376236,POITIERS-BIARD,8.31
FR01019,Thionville-Piscine,49.36861,6.160831,AEROPORT METZ-NANCY-LORRAINE,43.7
FR40009,Cayenne-Bouchon,4.920833,-52.321945,CAYENNE-MATOURY,11.96
FR04098,LOGNES,48.84028,2.635278,LE BOURGET,20.73
FR27004,Vienne Centre,45.52597,4.875408,LYON-BRON,22.47
FR82041,Tavaux,47.0426,5.400944,TAVAUX SA,2.0
FR16038,Strasbourg Est,48.570374,7.766331,STRASBOURG-ENTZHEIM,9.56
FR21040,Saint-Lô Eglise,49.11639,-1.084722,CAEN-CARPIQUET,46.26
FR23181,PARC PAYSAGER,47.27313,-2.223172,ST NAZAIRE-MONTOIR,6.88
FR01061,Florange_Bétange_HAP,49.3331,6.1147,AEROPORT METZ-NANCY-LORRAINE,40.43
FR02001,Berre l'Etang,43.486233,5.171939,MARIGNANE,6.34
FR19019,Rennes Rue Saint Malo,48.12659,-1.68606,RENNES-ST JACQUES,7.34
FR82021,Belfort centre,47.630756,6.858944,DORANS,4.65
FR82006,Besançon Prévoyance,47.2474,6.015419,BESANCON,2.01
FR07034,Clermont-Esplanade Gare,45.775696,3.09625,CLERMONT-FD,4.3
FR82070,Baume-les-Dames,47.351288,6.359722,BESANCON,30.19
FR20004,ST JUST,45.755318,4.820331,LYON-BRON,10.69
FR23157,EPINETTES,47.146088,-1.690269,NANTES-BOUGUENAIS,6.17
FR23140,VICTOR HUGO,47.204357,-1.552914,NANTES-BOUGUENAIS,7.38
FR38010,TITAN,-20.943007,55.2906,GILLOT-AEROPORT,25.37
FR02026,Miramas Centre Ville,43.584694,5.006452,SALON DE PROVENCE,8.76
FR41004,BASTIA LA MARANA,42.53583,9.475972,BASTIA,0.93
FR05080,Rogerville Mairie,49.50362,0.266872,OCTEVILLE,13.06
FR25011,Pt Couronne Ch d eau,49.383133,1.025758,ROUEN-BOOS,11.07
FR27007,Bourgoin-Jallieu,45.60822,5.270872,LYON-ST EXUPERY,19.95
FR33121,Albertville,45.675,6.389722,BOURG ST MAURICE,29.86
FR04023,CERGY-PONTOISE,49.04639,2.043056,PONTOISE - AERO,5.0
FR25037,Rouen Le Conquerant,49.441463,1.082656,ROUEN-BOOS,9.02
FR34066,Montargis Les Cites,48.00145,2.72618,AUXERRE-PERRIGNY,64.44
FR32002,Champforgueil,46.821056,4.835083,TAVAUX SA,51.34
FR03030,GARDANNE,43.453583,5.466672,MARIGNANE,20.31
FR05500,Gonfreville l Orcher Côte Blanche,49.4989,0.2296,OCTEVILLE,10.66
FR37007,ST Vieux Bourg ABYMES,16.25066,-61.527794,LE RAIZET AERO,1.92
FR82020,Belfort Octroi,47.640667,6.859278,DORANS,5.7
FR21050,La Coulonche MERA,48.645,-0.458333,ALENCON,47.37
FR18057,Neuilly-Saint-Front,49.17493,3.260819,ROISSY,55.8
FR82012,Dambenois Citoyen,47.538193,6.868361,DORANS,6.39
FR09301,AIRVAULT 2,46.824368,-0.135461,POITIERS-BIARD,42.82
FR14048,HAP Bourbonne,47.9542,5.7491,LANGRES,33.05
FR04059,SAINT-DENIS,48.93722,2.361667,LE BOURGET,5.87
FR23149,CUTULLIC2,47.28616,-2.032447,ST NAZAIRE-MONTOIR,9.7
FR16017,Nord-Est Alsace,48.919357,8.158458,STRASBOURG-ENTZHEIM,55.99
FR50224,Perpignan bd Pyrénées,42.69587,2.888483,PERPIGNAN,4.77
FR06003,Douai Theuriet,50.37822,3.06586,LILLE-LESQUIN,21.44
FR11033,Lesquin Centre,50.58859,3.11598,LILLE-LESQUIN,2.44
FR37006,PTP-VICTOIRE,16.23674,-61.5341,LE RAIZET AERO,3.58
FR20060,VENISSIEUX Village,45.7036,4.8836,LYON-BRON,5.46
FR16068,Colmar-Ladhof,48.081696,7.364589,COLMAR-MEYENHEIM,17.32
FR04038,Zone Rurale SO,48.581944,1.883333,TRAPPES,23.32
FR16060,C.C.3 Frontières,47.594913,7.568175,BALE-MULHOUSE,4.87
FR03048,AIX PLATANES,43.55578,5.461232,MARIGNANE,23.74
FR82060,Vesoul Pres Caillet,47.62002,6.157642,LUXEUIL,24.14
FR14032,ST PARRES AUX TERTRE,48.299168,4.117222,TROYES-BARBEREY,7.73
FR25055,Dieppe Golf,49.92049,1.047892,DIEPPE,3.31
FR25040,Mesnil Esnard,49.40619,1.15515,ROUEN-BOOS,2.5
FR31043,Biarritz-hippodrome,43.470238,-1.553876,BIARRITZ-PAYS-BASQUE,1.58
FR26007,Station BALZAC,47.34139,5.046944,DIJON-LONGVIC,8.75
FR12039,Toulouse-SETMI Eisenhower,43.56158,1.393261,TOULOUSE-BLAGNAC,6.71
FR22007,Cite Bois Richard(7),49.166,6.734,AEROPORT METZ-NANCY-LORRAINE,41.34
FR11030,Salome Ecoles,50.532032,2.839,LILLE-LESQUIN,18.75
FR08508,Vergèze,43.724606,4.246406,NIMES-GARONS,14.4
FR34054,Faverolles,47.170166,1.409694,ROMORANTIN,26.76
FR31026,TARTAS Pelletrin,43.838875,-0.81203,MONT-DE-MARSAN,26.21
FR26001,Station PASTEUR,47.31861,5.041389,DIJON-LONGVIC,6.66
FR25505,Grand Evreux Agglomeration,49.00922,1.15669,EVREUX-HUEST,5.05
FR04173,RD934 Coulommiers,48.8059,3.084158,MELUN,36.8
FR03043,MARSEILLE 5 AVENUES,43.305286,5.394716,MARIGNANE,20.62
FR38021,Grand Fond,-21.032139,55.232563,GILLOT-AEROPORT,34.46
FR19033,Vannes UTA,47.64892,-2.76399,LORIENT-LANN BIHOUE,51.83
FR21016,Caen Vaucelles,49.17508,-0.353563,CAEN-CARPIQUET,7.48
FR30024,Tomblaine,48.68838,6.221456,NANCY-ESSEY,0.06
FR31034,AMBES 2,45.012222,-0.529722,BORDEAUX-MERIGNAC,23.86
FR25050,Bures-en-bray,49.78122,1.345083,DIEPPE,24.87
FR03069,HYERES,43.119736,6.131319,HYERES,2.49
FR02021,Sausset les Pins,43.331245,5.117696,MARIGNANE,13.99
FR07058,Montluçon,46.34072,2.593945,GUERET-ST LAURENT,52.78
FR24039,Obs Haute-Provence,43.933475,5.711809,ST AUBAN,26.43
FR34025,La Bruyère,47.419083,0.682944,TOURS,4.37
FR04051,ARGENTEUIL,48.95139,2.223611,LE BOURGET,15.0
FR31006,MERIGNAC,44.841373,-0.651068,BORDEAUX-MERIGNAC,3.39
FR03068,TOULON FOCH,43.12682,5.921605,HYERES,18.53
FR12038,Toulouse Boulodrome STCM,43.635967,1.429497,TOULOUSE-BLAGNAC,4.4
FR26016,Sens,48.200436,3.2773,AUXERRE-PERRIGNY,46.44
FR08204,Gard Rhodanien1,43.8292,4.64295,NIMES-COURBESSAC,19.22
FR14022,CHALONS,48.962223,4.36,VATRY-AERO,25.05
FR07053,Edouard Michelin,45.780434,3.111592,CLERMONT-FD,3.01
FR34061,Blois nord,47.594257,1.302667,BLOIS,11.56
FR23124,LA TARDIERE,46.656624,-0.743381,NIORT,46.11
FR01021,Thionville-Garche,49.394444,6.201392,AEROPORT METZ-NANCY-LORRAINE,46.26
FR40007,Kalou,4.84816,-52.3238,CAYENNE-MATOURY,5.42
FR31022,LAGOR,43.40986,-0.673155,PAU-UZEIN,20.93
FR34048,Chartres_trafic,48.449158,1.492469,CHARTRES,1.41
FR19017,Rennes Pays-Bas,48.08965,-1.65911,RENNES-ST JACQUES,6.03
FR26043,Dijon-Transvaal,47.31546,5.040202,DIJON-LONGVIC,6.42
FR07057,Moulins Centre,46.561974,3.3406389,VICHY-CHARMEIL,44.18
FR23239,LA CHABOSSIERE,47.18594,-1.591504,NANTES-BOUGUENAIS,4.21
FR29421,COUBERTIN,45.46672,4.389781,ST ETIENNE-BOUTHEON,11.53
FR11026,Halluin stade,50.775482,3.12568,LILLE-LESQUIN,22.93
FR12021,Toulouse Mazades,43.623608,1.438531,TOULOUSE-BLAGNAC,4.81
FR03006,MARSEILLE RABATAU,43.27645,5.39736,MARIGNANE,23.16
FR23143,REPUBLIQUE,47.28472,-2.210833,ST NAZAIRE-MONTOIR,5.34
FR30022,Gerardmer,48.072002,6.873001,COLMAR-MEYENHEIM,42.85
FR16512,Haguenau 3,48.81542,7.797019,STRASBOURG-ENTZHEIM,31.73
FR07018,Vals pres le Puy,45.030003,3.876,LE PUY-LOUDES,10.09
FR04001,ISSY-LES-MOULINEAUX,48.8225,2.2692,PARIS-MONTSOURIS,5.03
FR11016,Marcq CTM,50.67003,3.07656,LILLE-LESQUIN,11.22
FR09203,La Pallice3 LR,46.161633,-1.211229,LA ROCHELLE-ILE DE RE,2.29
FR03067,BRIGNOLES,43.39873,6.075611,LE LUC,25.15
FR41060,BASTIA FANGO,42.70283,9.446389,BASTIA,18.31
FR09016,La Couronne,45.60882,0.099722,COGNAC,32.91
FR05503,Notre Dame de Gravenchon Prevert,49.4811,0.574611,ST GATIEN DES B,32.21
FR02012,Istres,43.50615,4.982898,ISTRES,4.83
FR02010,Retour des Aires,43.500786,4.853818,ISTRES,6.42
FR02018,La Fare les Oliviers,43.548313,5.183108,SALON DE PROVENCE,9.38
FR25036,Espace du Palais,49.442356,1.093789,ROUEN-BOOS,8.48
FR82003,Besancon Planoise,47.221973,5.971556,BESANCON,3.28
FR38018,Centre Penitencier,-20.9498,55.313828,GILLOT-AEROPORT,23.22
FR24003,NICE PELLOS,43.71009,7.265102,NICE,8.17
FR12030,Toulouse Berthelot,43.587345,1.444003,TOULOUSE-BLAGNAC,6.45
FR28034,ISBERGUES,50.62587,2.473341,LILLE-LESQUIN,44.49
FR14008,REVIN,49.90778,4.63,CHARLEVILLE-MEZ,13.93
FR25032,Elbeuf CCI,49.291107,1.007433,ROUEN-BOOS,16.52
FR50060,Montauban - Ramierou,44.012856,1.3753052,MONTAUBAN,1.69
FR21021,Lisieux,49.147224,0.227222,ST GATIEN DES B,24.55
FR06007,Maubeuge Joyeuse,50.27936,3.97691,LILLE-LESQUIN,70.18
FR38091,Terrain de Sel,-20.928686,55.33258,GILLOT-AEROPORT,20.77
FR34034,Vierzon,47.222027,2.073,BOURGES,28.26
FR22011,L Hôpital - Mairie,49.158413,6.731664,AEROPORT METZ-NANCY-LORRAINE,40.78
FR30028,Schlucht,48.051117,7.011114,COLMAR-MEYENHEIM,32.5
FR12008,Toulouse rue de Metz,43.599976,1.442136,TOULOUSE-BLAGNAC,5.61
FR12050,VIVIEZ-Place du 8 Mai,44.560543,2.226169,RODEZ-AVEYRON,26.31
FR05010,St Romain de Colbosc,49.528927,0.358733,OCTEVILLE,19.28
FR12095,Rodez Camonil,44.35699,2.5707042,RODEZ-AVEYRON,9.18
FR24033,GAP COMMANDERIE,44.555195,6.073015,EMBRUN,34.56
FR34009,Saran,47.9531,1.8728,ORLEANS,8.19
FR07056,Pays du Mezenc,44.98377,4.226006,LE PUY-LOUDES,37.68
FR09017,COGNAC,45.694725,-0.323361,COGNAC,3.36
FR36021,Drôme Rurale Sud-SND,44.569443,5.278972,MONTELIMAR,43.26
FR04131,Boulevard Haussmann,48.873333,2.330278,PARIS-MONTSOURIS,5.77
FR12052,Tarbes lycée Dupuy,43.230297,0.062339,TARBES-LOURDES-PYRENEES,6.9
FR12040,Toulouse SETMI Chapitre,43.556374,1.403964,TOULOUSE-BLAGNAC,7.47
FR08712,Perpignan St Esteve,42.7198,2.83988,PERPIGNAN,3.31
FR18008,P. Bert St Quentin,49.863,3.307,ST QUENTIN,8.78
FR33105,Chambéry Trafic,45.56943,5.932986,CHAMBERY-AIX,9.07
FR31057,Floirac Branne,44.84341,-0.50698,BORDEAUX-MERIGNAC,14.61
FR10030,Boulogne Diderot,50.71703,1.605913,BOULOGNE-SEM,1.78
FR33111,SAINT JEAN,45.274723,6.349722,VILLAR ST PANCRACE,49.44
FR23110,LEON BLUM,47.26411,-2.250153,ST NAZAIRE-MONTOIR,9.09
FR10013,Loon-Plage,50.99599,2.21466,DUNKERQUE,10.98
FR04058,Auto A1 -Saint-Denis,48.925278,2.356667,LE BOURGET,6.98
